1229,Nissan,Cube,Violet,2012
1737,Mercedes-Benz,400SEL,Mauv,1993
1750,Infiniti,FX,Indigo,2006
1041,Infiniti,G,Fuscia,2009
1410,Lincoln,Town Car,Green,2002
1963,Mitsubishi,Truck,Turquoise,1991
1980,Pontiac,Firebird,Fuscia,1985
1388,GMC,Suburban 1500,Blue,1997
1251,Toyota,4Runner,Violet,1996
1177,Dodge,Viper RT/10,Violet,1994
1651,Chevrolet,Tahoe,Teal,1995
1517,Acura,NSX,Blue,1995
1951,Toyota,Corolla,Red,1998
1887,Chrysler,LHS,Yellow,1996
1852,Cadillac,STS,Teal,2007
1529,Kia,Sephia,Teal,1994
1047,GMC,Savana 3500,Violet,2012
1739,Volvo,S60,Yellow,2011
1880,Cadillac,Eldorado,Green,2000
1840,BMW,3 Series,Teal,1996
1314,Audi,A6,Yellow,2011
1746,Saab,9-3,Green,2002
1136,Pontiac,Grand Prix,Pink,1997
1427,Infiniti,QX,Khaki,2007
1574,Volvo,S40,Khaki,2010
1768,Buick,Skylark,Fuscia,1990
1544,Mazda,MX-6,Mauv,1996
1006,Infiniti,QX,Khaki,2012
1149,Lexus,IS F,Indigo,2008
1361,Nissan,240SX,Fuscia,1996
1737,Plymouth,Sundance,Blue,1994
1474,Chevrolet,G-Series G20,Khaki,1993
1984,Infiniti,G25,Pink,2012
1819,Volkswagen,GTI,Maroon,1989
1904,Mercury,Cougar,Mauv,1988
1203,GMC,Sonoma,Aquamarine,1996
1071,GMC,Yukon,Crimson,2005
1659,Mitsubishi,Outlander Sport,Blue,2012
1679,Ford,EXP,Blue,1988
1360,Mitsubishi,3000GT,Red,1998
1185,Mazda,Mazda6 Sport,Turquoise,2006
1775,Ford,Crown Victoria,Khaki,2008
1303,Chevrolet,Corvette,Violet,2002
1595,GMC,Yukon,Yellow,2012
1341,Chevrolet,Camaro,Pink,1985
1600,BMW,745,Red,2003
1074,Toyota,Camry,Green,2010
1996,Dodge,Dakota Club,Turquoise,1999
1115,Pontiac,Firefly,Mauv,1985
1211,Toyota,Solara,Turquoise,2001
1911,Volkswagen,GTI,Purple,1997
1990,Subaru,Legacy,Fuscia,1996
1351,Isuzu,Amigo,Mauv,2000
1600,Maserati,Quattroporte,Purple,1985
1472,Jeep,Liberty,Khaki,2009
1773,Hyundai,Elantra,Blue,1997
1361,Chevrolet,G-Series G30,Puce,1992
1522,Ford,Flex,Green,2011
1775,Ford,Focus ST,Khaki,2013
1138,Mitsubishi,Lancer Evolution,Violet,2011
1595,Ford,Econoline E250,Fuscia,1993
1069,Porsche,944,Aquamarine,1991
1096,Isuzu,Rodeo,Teal,1999
1909,Buick,Century,Purple,1996
1067,Cadillac,DeVille,Mauv,1993
1934,Lexus,LX,Maroon,2004
1571,Mitsubishi,Outlander,Goldenrod,2010
1867,Lexus,SC,Khaki,2003
1552,Chevrolet,Avalanche 1500,Goldenrod,2002
1672,Ford,Fairlane,Blue,1965
1487,Ford,F350,Crimson,2006
1157,Chevrolet,Beretta,Turquoise,1996
1967,Pontiac,Grand Prix,Blue,1980
1296,Nissan,Maxima,Red,1999
1793,Land Rover,Range Rover,Red,1986
1083,Mercedes-Benz,CLK-Class,Red,2007
1089,Saturn,S-Series,Maroon,1997
1170,Dodge,Dakota,Yellow,2007
1851,Chevrolet,Suburban 2500,Goldenrod,2001
1709,Mercedes-Benz,M-Class,Crimson,2009
1494,Chevrolet,Cavalier,Turquoise,1993
1173,Lexus,LS Hybrid,Violet,2012
1962,Pontiac,Grand Prix,Crimson,1987
1984,Saturn,VUE,Pink,2003
1473,Mazda,626,Maroon,1989
1987,Ford,Escort ZX2,Blue,2003
1995,Ram,2500,Violet,2011
1196,Nissan,Quest,Teal,2008
1391,Chevrolet,Cavalier,Aquamarine,1993
1808,Buick,Park Avenue,Puce,1997
1097,Mercedes-Benz,GLK-Class,Goldenrod,2011
1966,Kia,Sorento,Green,2008
1544,Hyundai,Elantra,Goldenrod,1994
1030,Kia,Borrego,Blue,2009
1342,Cadillac,Escalade,Violet,2012
1130,Lamborghini,Diablo,Violet,1994
1717,Dodge,Ram 1500,Violet,2001
1718,Mazda,MX-5,Aquamarine,1990
1846,Ford,E150,Maroon,2010
1445,Toyota,4Runner,Puce,2000
